school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,N02_overall,N02_school_days_200m,N02_midterm_days_200m,N02_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
00752A,CENTRAL SENIOR MXD N S,276,Y,53.3514878,-6.2560091,17427,16328,1099,35.157770,29.322096,5.835673,23.486423,,17.740509,37.902114,14.995537,42.319055,,,65.520776,84.806213,12.491173
01795A,CENTRAL INFS SCHOOL,161,Y,53.3512359,-6.255884,17062,16027,1035,36.397548,30.624996,5.772551,24.852445,,15.655610,39.970590,17.333800,42.663270,,,65.186706,86.672314,12.250387
03917V,NAOMH PADRAIG BOYS,137,Y,53.3434257,-6.2253096,3515,3515,0,23.245301,23.245301,0.000000,23.245301,,24.033906,12.717301,50.548570,25.486821,,,,,
04992R,SCOIL AN CROI NAOFA,457,N,53.3841758,-6.2743337,2068,2068,0,1.168332,1.168332,0.000000,1.168332,,,2.140491,-2.477678,5.099665,,,,,
05933G,PRESENTATION PRIMARY SCHOOL,128,Y,53.3483046,-6.2717822,11430,11430,0,13.690227,13.690227,0.000000,13.690227,38.002909,14.831829,18.799701,1.471521,1.098545,,,,,
07546J,GOLDENBRIDGE CONVENT,235,Y,53.3366757,-6.3190909,422,361,61,7.661038,9.016777,-1.355738,10.372515,,,14.588080,8.151814,8.390085,,,-15.648100,-1.952179,
09750S,ST JOSEPHS BOYS N S,445,N,53.30966,-6.2820528,7323,7323,0,22.919393,22.919393,0.000000,22.919393,,20.460882,13.920458,34.232488,28.268547,,,,,
09932B,STANHOPE ST CONVENT,337,Y,53.3526296,-6.2807151,840,840,0,15.655066,15.655066,0.000000,15.655066,,,18.945509,11.035447,15.149307,,,,,
10653E,CHAPELIZOD N S,27,N,53.3502723,-6.3447082,1132,1014,118,23.399802,23.478035,-0.078233,23.556268,,,14.530187,32.477285,47.212201,,,,-0.647327,
11525A,ST PATRICKS N SCHOOL,495,N,53.3702038,-6.2582926,9351,9351,0,6.981399,6.981399,0.000000,6.981399,,4.017086,8.247439,7.300730,6.290858,,,,,
11578V,CITY QUAY NS,155,Y,53.3466149,-6.251301,16509,15860,649,34.021916,32.975989,1.045927,31.930062,,34.141834,25.617251,34.756441,39.450780,,,79.903000,11.306645,19.028012
11894I,SCOIL MHUIRE,278,N,53.3282428,-6.2121813,1235,1235,0,0.971911,0.971911,0.000000,0.971911,,15.529684,-1.102949,2.376042,,,,,,
12448N,GARDINER STREET CONVENT,407,Y,53.3580992,-6.2588875,16041,15084,957,34.271085,30.675712,3.595373,27.080339,,27.605061,37.028103,24.416285,41.201881,,,,48.893008,4.003326
12755W,KILDARE PLACE N S,206,N,53.318538,-6.2636198,1384,1276,108,7.506472,2.773552,4.732920,-1.959368,,,3.528121,-4.511327,6.838987,,,50.332788,,
13611D,PRESENTATION PRIMARY SCHOOL,191,Y,53.335648,-6.2763376,11173,10640,533,5.646509,6.464542,-0.818033,7.282575,18.910179,,10.024470,3.166192,5.990738,,,-14.645251,,-1.216642
13612F,PRESENTATION PRIMARY SCHOOL,582,N,53.3106506,-6.2881369,2332,2332,0,6.905063,6.905063,0.000000,6.905063,,-0.393194,8.187086,6.907992,-1.007158,,,,,
13815T,HOWTH RD MXD N S,98,N,53.3642204,-6.2261522,11125,11087,38,25.486639,25.486639,0.000000,25.486639,,17.803393,38.336621,20.293550,19.383453,,,,,
