school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,PM25_overall,PM25_school_days_200m,PM25_midterm_days_200m,PM25_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
00752A,CENTRAL SENIOR MXD N S,276,Y,53.3514878,-6.2560091,17427,16328,1099,7.502314,7.187868,0.314445,6.873423,,7.473626,7.410088,9.307118,6.976390,,,4.905736,4.547116,7.111098
01795A,CENTRAL INFS SCHOOL,161,Y,53.3512359,-6.255884,17062,16027,1035,7.509470,7.217373,0.292097,6.925276,,7.251693,7.421608,9.418562,7.096673,,,4.512071,4.543294,7.009617
03917V,NAOMH PADRAIG BOYS,137,Y,53.3434257,-6.2253096,3515,3515,0,8.215865,8.215865,0.000000,8.215865,,9.119559,7.276053,9.382434,7.692225,,,,,
04992R,SCOIL AN CROI NAOFA,457,N,53.3841758,-6.2743337,2068,2068,0,6.794366,6.794366,0.000000,6.794366,,,7.996377,6.190624,5.737797,,,,,
05933G,PRESENTATION PRIMARY SCHOOL,128,Y,53.3483046,-6.2717822,11430,11430,0,6.171403,6.171403,0.000000,6.171403,11.278305,19.972496,5.872905,5.954081,5.214262,,,,,
07546J,GOLDENBRIDGE CONVENT,235,Y,53.3366757,-6.3190909,422,361,61,11.048535,9.108879,1.939656,7.169223,,,11.813701,10.820712,7.168666,,,16.129500,12.096219,
09750S,ST JOSEPHS BOYS N S,445,N,53.30966,-6.2820528,7323,7323,0,7.318452,7.318452,0.000000,7.318452,,8.957823,6.024209,7.213724,10.812578,,,,,
09932B,STANHOPE ST CONVENT,337,Y,53.3526296,-6.2807151,840,840,0,7.402439,7.402439,0.000000,7.402439,,3.602288,7.277199,6.271633,10.981338,,,,,
10653E,CHAPELIZOD N S,27,N,53.3502723,-6.3447082,1132,1014,118,6.555842,5.861007,0.694834,5.166173,,,3.749199,5.512492,15.923526,,,,6.665703,
11525A,ST PATRICKS N SCHOOL,495,N,53.3702038,-6.2582926,9351,9351,0,8.129281,8.129281,0.000000,8.129281,,4.502496,6.238505,8.504311,8.219834,,,,,
11578V,CITY QUAY NS,155,Y,53.3466149,-6.251301,16509,15860,649,8.807641,8.695485,0.112155,8.583330,,7.257327,8.579191,11.546543,9.249517,,,6.789361,1.432329,2.692311
11894I,SCOIL MHUIRE,278,N,53.3282428,-6.2121813,1235,1235,0,6.443565,6.443565,0.000000,6.443565,,9.070538,7.543793,5.143517,,,,,,
12448N,GARDINER STREET CONVENT,407,Y,53.3580992,-6.2588875,16041,15084,957,6.240749,6.042608,0.198140,5.844468,,7.258191,7.313326,5.093182,5.815559,,,,2.959759,5.471427
12755W,KILDARE PLACE N S,206,N,53.318538,-6.2636198,1384,1276,108,5.387860,5.143399,0.244460,4.898939,,,5.648965,4.236192,7.768182,,,3.136859,,
13611D,PRESENTATION PRIMARY SCHOOL,191,Y,53.335648,-6.2763376,11173,10640,533,7.643142,7.187481,0.455661,6.731820,10.595183,,7.837614,7.092967,7.922218,,,9.470641,,10.772466
13612F,PRESENTATION PRIMARY SCHOOL,582,N,53.3106506,-6.2881369,2332,2332,0,6.126493,6.126493,0.000000,6.126493,,6.659468,8.267377,5.374356,4.790271,,,,,
13815T,HOWTH RD MXD N S,98,N,53.3642204,-6.2261522,11125,11087,38,7.421372,7.377178,0.044194,7.332984,,7.389712,9.177609,5.582032,6.842901,,,12.856973,,
14463T,ST COLUMBAS N S MXD,124,N,53.3587253,-6.2422703,4663,4609,54,7.154529,7.091903,0.062626,7.029277,,6.661191,6.892476,4.713082,11.202245,,,5.342944,,
14556D,ST ENDAS PRIMARY SCHOOL,124,Y,53.3403502,-6.2671613,16838,15857,981,6.907961,6.812174,0.095786,6.716388,,7.389290,7.144720,7.685717,6.420499,,,1.657479,,
14717B,RATHGAR N S,91,N,53.3140678,-6.2754398,4496,4476,20,5.434672,5.398824,0.035848,5.362976,,5.040057,6.460291,4.012304,6.485098,,,8.462052,,
14917J,ZION PARISH PRIMARY SCHOOL,93,N,53.3079547,-6.2746826,1717,1717,0,6.872361,6.872361,0.000000,6.872361,,,4.844388,7.347608,12.007681,,,,,
14980Q,GLASNEVIN N S,84,N,53.3725974,-6.267463,3618,3618,0,5.382173,5.382173,0.000000,5.382173,,6.386851,5.706230,4.603985,7.239526,,,,,
15056L,S N SAN VINSEANN CAILIN,244,Y,53.3573928,-6.2466488,5611,5402,209,7.011308,6.751818,0.259490,6.492328,,10.485279,6.956110,5.110436,10.090450,,,8.556950,2.900500,6.757116
15253N,ST PATRICKS GIRLS NS,162,Y,53.3433281,-6.2256515,3934,3934,0,8.032237,8.032237,0.000000,8.032237,,9.128867,6.894244,9.663155,7.727648,,,,,
15618E,SANDFORD PARISH NATIONAL SCHOOL,231,N,53.3208795,-6.2481682,3088,3088,0,6.060713,6.060713,0.000000,6.060713,,10.673311,5.221274,5.372546,6.658718,,,,,
15622S,ST PATRICKS NS,212,N,53.3485735,-6.3433716,2280,2087,193,7.092257,6.442511,0.649746,5.792765,,11.021850,4.473786,6.672213,18.646777,,,,7.675756,
15625B,ST CATHERINES WEST N S,206,N,53.3330962,-6.2832323,5169,4942,227,7.943093,7.534628,0.408464,7.126164,,,8.819569,6.866602,7.095870,,,9.243528,,
15816I,ST VINCENTS INF BOYS,107,Y,53.3570601,-6.2468642,7004,6692,312,7.578495,7.270637,0.307858,6.962779,,9.808379,7.935332,5.587057,9.941801,,,8.156959,2.967546,6.756612
15895H,DRUMCONDRA N S,58,N,53.3692582,-6.2495372,3016,3013,3,6.733493,6.730947,0.002546,6.728401,,5.517423,8.795725,6.799649,4.874415,,,,,2.529666
15995L,Star of the Sea,325,N,53.3361098,-6.2181304,3536,3490,46,7.214597,7.110568,0.104029,7.006539,,7.690600,6.679229,9.350106,6.507114,,7.234565,,,
16177F,LINDSAY ROAD N S,91,N,53.3648971,-6.2647557,2879,2811,68,4.933910,4.780401,0.153508,4.626893,,4.637609,5.209596,3.982231,4.522566,,,,7.282405,5.470516
16577V,ST BRIGIDS CONVENT,469,N,53.3768599,-6.2756033,1438,1438,0,6.987928,6.987928,0.000000,6.987928,,6.140555,7.164340,5.676062,8.258183,,,,,
16651H,ST CLARES CONVENT N S,282,N,53.3265516,-6.2756944,4435,4435,0,7.393777,7.393777,0.000000,7.393777,,5.541488,6.853340,8.845843,7.770917,,,,,
16659A,ST COLUMBAS CON G & I,392,N,53.3667595,-6.263518,3314,3269,45,4.857747,4.790143,0.067603,4.722540,,4.876037,5.110436,3.984143,4.201348,,,,,4.969622
16695E,SCOIL NA MBRATHAR BOYS SENIOR SCHOOL,150,Y,53.3505046,-6.2767608,11846,11846,0,6.818898,6.818898,0.000000,6.818898,,8.818980,6.357058,8.161239,6.008554,,,,,
16753P,ST VINCENT DE PAULS GIRLS SENIOR SCHOOL,333,N,53.3700654,-6.2304069,1974,1974,0,7.844857,7.844857,0.000000,7.844857,,20.885545,8.438081,6.360480,5.942617,,,,,
16754R,ST VINCENTS CONVENT INF N S,396,N,53.3699992,-6.2304907,2119,2119,0,7.746556,7.746556,0.000000,7.746556,,20.503683,8.242827,6.431655,5.889614,,,,,
16759E,S N MHUIRE NA MBRATHAR,357,N,53.3707391,-6.2324421,2526,2526,0,8.310564,8.310564,0.000000,8.310564,,16.561022,8.243382,6.456029,8.769912,,,,,
16786H,ST BRIGIDS PRIMARY SCHOOL,263,Y,53.338755,-6.2749302,21054,20059,995,8.152264,7.650811,0.501453,7.149358,12.514031,8.821015,8.180035,7.813630,7.555515,,,9.247362,11.067152,10.524744
16792C,ST BRIGIDS CONVENT N S,422,N,53.3785688,-6.2057196,511,511,0,11.390800,11.390800,0.000000,11.390800,,4.085755,8.455451,47.510825,9.532496,,,,,
