school_roll_number,school_name,school_latitude,school_longitude,07:30-,07:30-09:30,09:30-13:00,13:00-15:10,15:10+
16786H,ST BRIGIDS PRIMARY SCHOOL,53.338755,-6.2749302,34.795135,7.463166,17.462503,20.886487,12.028397
20450T,Assumption Junior School,53.3228994,-6.3321158,,65.882125,15.104228,12.070854,12.182043
14556D,ST ENDAS PRIMARY SCHOOL,53.3403502,-6.2671613,,19.396187,21.155035,25.896764,30.468520
16651H,ST CLARES CONVENT N S,53.3265516,-6.2756944,,-4.701007,10.033764,-4.105394,-3.494937
17367P,"MARY, HELP OF CHRISTIANS G.N.S.",53.3678069,-6.3144792,,,35.602584,42.791750,29.563343
17732M,SCOIL CHIARAIN,53.3739829,-6.2148823,,-25.085111,32.976985,5.310552,11.782500
12755W,KILDARE PLACE N S,53.318538,-6.2636198,,,3.532222,-1.416392,8.151544
14717B,RATHGAR N S,53.3140678,-6.2754398,,-16.684807,3.683644,-1.770327,-6.064521
14917J,ZION PARISH PRIMARY SCHOOL,53.3079547,-6.2746826,,,-6.472622,,
20281W,St Benedicts and St Marys National School,53.3884024,-6.1642907,,,,-7.059918,-15.934391
03917V,NAOMH PADRAIG BOYS,53.3434257,-6.2253096,,24.658346,17.495890,56.692929,25.161205
16988T,CHRIST THE KING B N S,53.3635807,-6.2852461,,-3.246703,-4.365198,-2.981147,19.268021
19764M,OUR LADY OF WAYSIDE N S,53.3312985,-6.3378935,,,63.067500,-2.738750,
20139T,INCHICORE NS,53.3413932,-6.3200962,33.500615,47.055390,25.964657,20.066413,13.013000
17211H,CLOCHAR LUGHAIDH NAOIDH,53.3246405,-6.2676013,,-18.497366,18.661022,13.687165,0.412173
19618B,ST PAULS SEN NS,53.3952276,-6.18367,,,2.256608,-0.942732,26.469731
19981U,ST MARYS N S,53.3641737,-6.2382837,,15.930511,16.844694,29.932695,10.131651
19831B,SCOIL CHAOIMHIN,53.3512957,-6.2576946,,6.235867,52.625674,10.047210,31.475150
13612F,PRESENTATION PRIMARY SCHOOL,53.3106506,-6.2881369,,0.796347,9.242418,19.197024,1.178444
17465P,DOMINICAN CONVENT GIRLS SENIOR SCHOOL,53.3699148,-6.3070661,,,27.055610,34.283672,40.493720
14463T,ST COLUMBAS N S MXD,53.3587253,-6.2422703,,27.325744,28.888797,12.538752,39.542293
19611K,SCOIL NAOMH COLMCILLE,53.3967797,-6.1591405,,,17.036241,56.436521,
19662E,ST MICHAELS NS,53.3433768,-6.3480633,,68.110075,12.719677,35.374874,37.739846
17912O,S N EOIN BOSCO BUACH,53.3678673,-6.3137558,,,38.554285,45.973732,31.952700
18969C,ST EITHNES SENIOR GIRLS NS,53.3895053,-6.1807765,,,23.071692,-8.922246,16.640976
20429F,ST. JAMES'S PRIMARY SCHOOL,53.3403895,-6.2901689,,,1.466845,-1.180053,14.594767
19583I,ST JOSEPHS SENIOR N S,53.4013646,-6.2719084,,,1.765416,11.525709,
19913D,ST JOSEPHS NS,53.3981164,-6.2032168,,-0.271500,14.596417,11.976352,-6.584541
11525A,ST PATRICKS N SCHOOL,53.3702038,-6.2582926,,2.836671,8.505264,7.516312,6.193455
