school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,N02_overall,N02_school_days_200m,N02_midterm_days_200m,N02_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
00752A,CENTRAL SENIOR MXD N S,276,Y,53.3514878,-6.2560091,9454,8874,580,31.950331,26.639865,5.310465,21.3294,,19.871335,37.75019,13.165595,33.924555,,,66.644907,80.571288,12.348213
01795A,CENTRAL INFS SCHOOL,161,Y,53.3512359,-6.255884,8191,7785,406,33.925201,29.723136,4.202065,25.521071,,17.700534,44.612104,17.173465,34.783328,,,72.328804,80.024566,12.010211
03917V,NAOMH PADRAIG BOYS,137,Y,53.3434257,-6.2253096,2528,2528,0,26.0097,26.0097,0,26.0097,,24.658346,17.49589,56.692929,25.161205,,,,,
04992R,SCOIL AN CROI NAOFA,457,N,53.3841758,-6.2743337,880,880,0,-2.257552,-2.257552,0,-2.257552,,,0.192479,-8.150469,4.568979,,,,,
05933G,PRESENTATION PRIMARY SCHOOL,128,Y,53.3483046,-6.2717822,7138,7138,0,10.06076,10.06076,0,10.06076,42.987935,10.379323,16.396222,-3.911508,1.018614,,,,,
07546J,GOLDENBRIDGE CONVENT,235,Y,53.3366757,-6.3190909,239,206,33,9.255074,10.28716,-1.032086,11.319246,,,19.077854,7.352604,6.227047,,,-16.856818,0.91135,
09750S,ST JOSEPHS BOYS N S,445,N,53.30966,-6.2820528,3726,3726,0,22.76254,22.76254,0,22.76254,,9.969627,13.979964,33.61379,33.044605,,,,,
09932B,STANHOPE ST CONVENT,337,Y,53.3526296,-6.2807151,561,561,0,13.958506,13.958506,0,13.958506,,,15.435873,12.6123,13.010178,,,,,
10653E,CHAPELIZOD N S,27,N,53.3502723,-6.3447082,831,747,84,21.449562,21.709128,-0.259565,21.968693,,,13.101712,25.734322,47.187137,,,,-2.144662,
11525A,ST PATRICKS N SCHOOL,495,N,53.3702038,-6.2582926,8905,8905,0,7.044456,7.044456,0,7.044456,,2.836671,8.505264,7.516312,6.193455,,,,,
11578V,CITY QUAY NS,155,Y,53.3466149,-6.251301,11085,10622,463,33.913737,32.910598,1.003138,31.90746,,34.504593,23.058706,32.160319,40.999087,,,114.106083,11.302636,18.341913
11894I,SCOIL MHUIRE,278,N,53.3282428,-6.2121813,739,739,0,0.52987,0.52987,0,0.52987,,,-2.03982,2.523327,,,,,,
12448N,GARDINER STREET CONVENT,407,Y,53.3580992,-6.2588875,11628,10984,644,35.394845,31.912645,3.4822,28.430445,,28.887003,35.553041,23.660393,46.256834,,,,51.710681,2.181235
12755W,KILDARE PLACE N S,206,N,53.318538,-6.2636198,968,889,79,8.447019,3.527717,4.919301,-1.391584,,,3.532222,-1.416392,8.151544,,,49.775565,,
13611D,PRESENTATION PRIMARY SCHOOL,191,Y,53.335648,-6.2763376,4526,4346,180,3.44922,4.172951,-0.723731,4.896682,11.084287,,6.597624,3.236896,-2.448836,,,-15.109994,,
13612F,PRESENTATION PRIMARY SCHOOL,582,N,53.3106506,-6.2881369,764,764,0,12.140991,12.140991,0,12.140991,,0.796347,9.242418,19.197024,1.178444,,,,,
13815T,HOWTH RD MXD N S,98,N,53.3642204,-6.2261522,3071,3045,26,32.886622,32.886622,0,32.886622,,15.299747,32.403874,17.709914,46.481687,,,,,
14463T,ST COLUMBAS N S MXD,124,N,53.3587253,-6.2422703,2947,2903,44,28.489012,26.869659,1.619352,25.250307,,27.325744,28.888797,12.538752,39.542293,,,87.714928,,
14556D,ST ENDAS PRIMARY SCHOOL,124,Y,53.3403502,-6.2671613,5114,4909,205,23.203751,22.722122,0.481628,22.240494,,19.396187,21.155035,25.896764,30.46852,,,10.549147,,
14717B,RATHGAR N S,91,N,53.3140678,-6.2754398,3301,3301,0,-1.763281,-1.763281,0,-1.763281,,-16.684807,3.683644,-1.770327,-6.064521,,,,,
14917J,ZION PARISH PRIMARY SCHOOL,93,N,53.3079547,-6.2746826,1045,1045,0,7.836213,7.836213,0,7.836213,,,-6.472622,15.485702,40.56365,,,,,
14980Q,GLASNEVIN N S,84,N,53.3725974,-6.267463,2859,2859,0,5.447086,5.447086,0,5.447086,,3.865532,5.630209,0.393822,57.736099,,,,,
15056L,S N SAN VINSEANN CAILIN,244,Y,53.3573928,-6.2466488,2455,2416,39,13.340797,12.541496,0.7993,11.742196,,19.836358,20.934402,2.764097,18.509359,,,,,70.254315
15253N,ST PATRICKS GIRLS NS,162,Y,53.3433281,-6.2256515,2632,2632,0,25.340376,25.340376,0,25.340376,,24.510006,15.871531,55.874166,24.775104,,,,,
15618E,SANDFORD PARISH NATIONAL SCHOOL,231,N,53.3208795,-6.2481682,2368,2368,0,5.348344,5.348344,0,5.348344,,12.368304,-12.71125,0.898742,20.938034,,,,,
15622S,ST PATRICKS NS,212,N,53.3485735,-6.3433716,1697,1551,146,23.550559,23.660917,-0.110358,23.771275,,37.8205,14.851976,30.830804,52.283911,,,,-1.117978,
