,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,appended_address,latitude,longitude
0,00697S,ST BRIGIDS MXD N S,Beechpark Lawn,Castleknock,Dublin 15,,Dublin,Fingal County Council,18214040,Denis Courtney,principal@saintbrigids.ie,D15P820,N,N,N,No subjects through Irish,Catholic,447.0,502.0,949,D15P820,53.3750893,-6.3621838
1,00714P,LUCAN B N S,Chapel Hill,Lucan,Co. Dublin,,Dublin,South Dublin County Council,16281857,Dara Burke,info@stmarysbnslucan.com,K78YD27,N,N,N,No subjects through Irish,Catholic,,513.0,513,K78YD27,53.3595512,-6.4435921
2,00729F,CLOCHAR LORETO N S,Grange Road,Rathfarnham,Dublin 14,,Dublin,South Dublin County Council,14931640,Sr. Maria Hyland,info@loretograngeroad.ie,D14YY28,N,N,N,No subjects through Irish,Catholic,501.0,,501,D14YY28,53.2912791,-6.278829399999999
3,00752A,CENTRAL SENIOR MXD N S,Marlborough Street,Dublin 1,,,Dublin,Dublin City Council,18788103,Deirdre Gartland,modesenmix@eircom.net,D01P027,N,Y,N,No subjects through Irish,Catholic,133.0,143.0,276,D01P027,53.3514878,-6.2560091
4,01170G,S N NA H-AILLE,Westown,Naul,Co. Dublin,,Dublin,Fingal County Council,18413821,Edel McMahon,naulns@eircom.net,K32PX40,N,N,N,No subjects through Irish,Catholic,67.0,72.0,139,K32PX40,53.57887419999999,-6.2856359
5,01795A,CENTRAL INFS SCHOOL,Marlborough Street,Dublin 1,,,Dublin,Dublin City Council,18788344,Catherine Groves,info@centralmodelinfantschool.ie,D01ER24,N,Y,N,No subjects through Irish,Catholic,84.0,77.0,161,D01ER24,53.3512359,-6.255884000000001
6,02872U,St. Mary's National School,Lamb's Cross,Sandyford,Dublin 18,,Dublin,Dun Laoghaire Rathdown,12954173,Fergus Lyons,saintmarys@eircom.net,D18XV90,N,N,N,No subjects through Irish,Catholic,124.0,141.0,265,D18XV90,53.2642149,-6.2294858
7,03359N,BALLYROAN B N S,Ballyroan Road,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,14931805,Desmond Morris,secretary@ballyroanbns.ie,D16YX54,N,N,N,No subjects through Irish,Catholic,,401.0,401,D16YX54,53.2864382,-6.294438
8,03917V,NAOMH PADRAIG BOYS,Cambridge Road,Ringsend,Dublin 4,,Dublin,Dublin City Council,16606825,Ian Lane,ringsendbns@gmail.com,D04AP98,N,Y,N,No subjects through Irish,Catholic,,137.0,137,D04AP98,53.3434257,-6.2253096
9,04992R,SCOIL AN CROI NAOFA,St Canice's Road,Ballygall,Dublin 11,,Dublin,Dublin City Council,18379586,Dermot Murphy,shbns1ballygall@gmail.com,D11XE17,N,N,N,No subjects through Irish,Catholic,,457.0,457,D11XE17,53.38417579999999,-6.2743337
10,05600C,CLOCHAR SAN DOMINIC,Convent Road,Dun Laoghaire,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12809011,Peter Mooney,mail@dominicandunlaoghaire.ie,A96V2P2,N,Y,N,No subjects through Irish,Catholic,122.0,100.0,222,A96V2P2,53.292207,-6.1380643
11,05933G,PRESENTATION PRIMARY SCHOOL,George's Hill,Halston Street,Dublin 7,,Dublin,Dublin City Council,18733061,Marie Berkery,secretary@georgeshillschool.ie,D07YF43,N,Y,N,No subjects through Irish,Catholic,93.0,35.0,128,D07YF43,53.3483046,-6.2717822
12,06200O,BOOTERSTOWN BOYS,Grotto Place,Booterstown,Blackrock,Co. Dublin,Dublin,Dun Laoghaire Rathdown,12886830,Robert O'Connor,booterstownbns.ias@eircom.net,A94AC97,N,N,N,No subjects through Irish,Catholic,,307.0,307,A94AC97,53.3089685,-6.1989355
13,07546J,GOLDENBRIDGE CONVENT,Saint Vincent Street West,Goldenbridge,Inchicore,Dublin 8,Dublin,Dublin City Council,14541265,Tonya Hanly,ololns.ias@gmail.com,D08AY94,N,Y,N,No subjects through Irish,Catholic,109.0,126.0,235,D08AY94,53.3366757,-6.3190909
14,09492W,BALSCADDEN N S,Balscadden,Ring Commons,Co. Dublin,,Dublin,Fingal County Council,18412579,Christopher White,balscadden.ias@eircom.net,K32VK33,N,N,N,No subjects through Irish,Catholic,108.0,112.0,220,K32VK33,53.6152784,-6.232177099999999
15,09642P,BURROW N S,Howth Road,Sutton,Dublin 13,,Dublin,Fingal County Council,18325784,Lynn Harley,burrowsecretary@gmail.com,D13TC04,N,N,N,No subjects through Irish,Church Of Ireland,109.0,106.0,215,D13TC04,53.3912904,-6.1002848
16,09750S,ST JOSEPHS BOYS N S,Terenure Road East,Dublin 6,,,Dublin,Dublin City Council,14906905,Anne McCabe,office@stjosephsterenure.ie,D06ED86,N,N,N,No subjects through Irish,Catholic,,445.0,445,D06ED86,53.30966,-6.2820528
17,09932B,STANHOPE ST CONVENT,Manor Street,Stoneybatter,Dublin 7,,Dublin,Dublin City Council,16716686,Doretta Carey (Acting),admin@stanhopestreetprimary.ie,D07DY60,N,Y,N,No subjects through Irish,Catholic,240.0,97.0,337,D07DY60,53.3526296,-6.2807151
18,10296G,SCOIL NAOMH MEARNOG,Strand Road,Portmarnock,Co. Dublin,,Dublin,Fingal County Council,18462060,Sinéad Trimble,stmarnocksns@gmail.com,D13PF29,N,N,N,No subjects through Irish,Catholic,288.0,342.0,630,D13PF29,53.4222165,-6.134994499999999
19,10494K,ALL SAINTS N S,Carysfort Avenue,Blackrock,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12885355,Sandra Byron,allsaintsnsblackrock@gmail.com,A94RC44,N,N,N,No subjects through Irish,Church Of Ireland,25.0,30.0,55,A94RC44,53.2893756,-6.180877499999999
20,10653E,CHAPELIZOD N S,Martin's Row,Chapelizod,Dublin 20,,Dublin,Dublin City Council,860205494,Máirín O'Shea (Acting Principal),info@stlaurenceschapelizod.com,D20PH32,N,N,N,No subjects through Irish,Church Of Ireland,13.0,14.0,27,D20PH32,53.3502723,-6.344708199999999
21,11525A,ST PATRICKS N SCHOOL,Millbourne Avenue,Drumcondra,Dublin 9,,Dublin,Dublin City Council,18372714,Natasha Bassett (Acting Principal),saintpatricksbns@gmail.com,D09H008,N,N,N,No subjects through Irish,Catholic,3.0,492.0,495,D09H008,53.3702038,-6.2582926
22,11578V,CITY QUAY NS,City Quay,Gloucester Street South,Dublin 2,,Dublin,Dublin City Council,16713754,Richie Hoban,cityquayns@hotmail.com,D02H277,N,Y,N,No subjects through Irish,Catholic,81.0,74.0,155,D02H277,53.3466149,-6.251301
23,11583O,ST ANDREWS N S,Church Road,Malahide,Co. Dublin,,Dublin,Fingal County Council,18450185,Lesley McElhinney,office@standrewsns.ie,K36HD54,N,N,N,No subjects through Irish,Church Of Ireland,94.0,129.0,223,K36HD54,53.4489088,-6.1529636
24,11638N,WHITECHURCH NAT SCHOOL,Whitechurch Road,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,14942177,Sarah Richards,office@whitechurchns.biz,D16Y1X3,N,N,N,No subjects through Irish,Church Of Ireland,99.0,114.0,213,D16Y1X3,53.2719354,-6.2822762
25,11873A,RATHMICHAEL N S,Rathmichael,Shankill,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12824794,Caroline Senior,caroline.senior@rathmichaelschool.com,D18ET38,N,N,N,No subjects through Irish,Church Of Ireland,108.0,110.0,218,D18ET38,53.2361475,-6.1277044
26,11894I,SCOIL MHUIRE,Gilford Road,Sandymount,Dublin 4,,Dublin,Dublin City Council,12695273,Donncha Cleary,scoil.mhuire@hotmail.com,D04DC04,N,N,N,No subjects through Irish,Catholic,278.0,,278,D04DC04,53.3282428,-6.2121813
27,12014D,ST ANDREWS N S,St Edmundsbury,Lucan Road,Lucan,Co. Dublin,Dublin,South Dublin County Council,16280975,Julie Ann Chapman,stanso@eircom.net,K78NX88,N,N,N,No subjects through Irish,Church Of Ireland,184.0,239.0,423,K78NX88,53.3607606,-6.4351823
